1.000000e-08    6.092462e-03               
1.258925e-08    5.941663e-03               
1.584893e-08    5.794318e-03               
1.995262e-08    5.648399e-03               
2.511886e-08    5.505106e-03               
3.162278e-08    5.362843e-03               
3.981072e-08    5.224026e-03               
5.011872e-08    5.086583e-03               
6.309573e-08    4.951291e-03               
7.943282e-08    4.817724e-03               
1.000000e-07    4.686711e-03               
1.258925e-07    4.557625e-03               
1.584893e-07    4.432665e-03               
1.995262e-07    4.307277e-03               
2.511886e-07    4.184263e-03               
3.162278e-07    4.062563e-03               
3.981072e-07    3.942972e-03               
5.011872e-07    3.825544e-03               
6.309573e-07    3.710180e-03               
7.943282e-07    3.596438e-03               
1.000000e-06    3.486086e-03               
1.258925e-06    3.376094e-03               
1.584893e-06    3.267380e-03               
1.995262e-06    3.161877e-03               
2.511886e-06    3.057997e-03               
3.162278e-06    2.955867e-03               
3.981072e-06    2.855915e-03               
5.011872e-06    2.757614e-03               
6.309573e-06    2.660653e-03               
7.943282e-06    2.566304e-03               
1.000000e-05    2.473668e-03               
1.258925e-05    2.383230e-03               
1.584893e-05    2.295002e-03               
1.995262e-05    2.208558e-03               
2.511886e-05    2.124391e-03               
3.162278e-05    2.042346e-03               
3.981072e-05    1.961318e-03               
5.011872e-05    1.882393e-03               
6.309573e-05    1.805315e-03               
7.943282e-05    1.730098e-03               
1.000000e-04    1.656963e-03               
1.258925e-04    1.585470e-03               
1.584893e-04    1.515850e-03               
1.995262e-04    1.447940e-03               
2.511886e-04    1.382531e-03               
3.162278e-04    1.318933e-03               
3.981072e-04    1.257197e-03               
5.011872e-04    1.196982e-03               
6.309573e-04    1.138949e-03               
7.943282e-04    1.082909e-03               
1.000000e-03    1.028791e-03               
